Project,Model,NMI,ARI,Shen-F,F1
Angular,BiLSTM,0.21,0.07,0.59,0.17
Appium,BiLSTM,0.21,0.11,0.62,0.26
Deeplearning4j,BiLSTM,0.17,0.08,0.54,0.10
Docker,BiLSTM,0.18,0.06,0.55,0.19
Ethereum,BiLSTM,0.28,0.14,0.59,0.25
Gitter,BiLSTM,0.20,0.08,0.58,0.20
Typescript,BiLSTM,0.10,0.02,0.54,0.06
NodeJS,BiLSTM,0.22,0.08,0.58,0.23
Angular,BERT,0.23,0.12,0.60,0.20
Appium,BERT,0.19,0.10,0.58,0.23
Deeplearning4j,BERT,0.14,0.05,0.52,0.15
Docker,BERT,0.20,0.08,0.54,0.20
Ethereum,BERT,0.28,0.08,0.57,0.25
Gitter,BERT,0.24,0.11,0.58,0.28
Typescript,BERT,0.18,0.07,0.56,0.19
NodeJS,BERT,0.21,0.05,0.55,0.26
Angular,E2E,0.30,0.16,0.61,0.23
Appium,E2E,0.26,0.11,0.60,0.23
Deeplearning4j,E2E,0.33,0.19,0.60,0.20
Docker,E2E,0.26,0.11,0.57,0.13
Ethereum,E2E,0.32,0.10,0.58,0.21
Gitter,E2E,0.31,0.15,0.59,0.20
Typescript,E2E,0.28,0.14,0.59,0.16
NodeJS,E2E,0.30,0.15,0.60,0.18
Angular,FF,0.72,0.59,0.84,0.52
Appium,FF,0.71,0.47,0.78,0.49
Deeplearning4j,FF,0.69,0.52,0.76,0.38
Docker,FF,0.76,0.64,0.82,0.56
Ethereum,FF,0.83,0.65,0.83,0.53
Gitter,FF,0.77,0.56,0.81,0.47
Typescript,FF,0.70,0.58,0.81,0.38
NodeJS,FF,0.77,0.57,0.80,0.41
Angular,PtrNet,0.71,0.62,0.85,0.44
Appium,PtrNet,0.70,0.40,0.77,0.42
Deeplearning4j,PtrNet,0.65,0.43,0.76,0.40
Docker,PtrNet,0.80,0.60,0.79,0.57
Ethereum,PtrNet,0.79,0.62,0.78,0.58
Gitter,PtrNet,0.69,0.57,0.82,0.43
Typescript,PtrNet,0.62,0.58,0.80,0.36
NodeJS,PtrNet,0.68,0.60,0.79,0.40